population_growthRate,country,region,WorldHappiness2022
-0.01377,Romania,Europe,6.477
-0.00294,Italy,Europe,6.467
-0.0094,Lithuania,Europe,6.446
-0.01594,Slovakia,Europe,6.391
-0.00282,Estonia,Europe,6.341
-0.01091,Latvia,Europe,6.18
-0.00728,Serbia,Europe,6.178
-0.00549,Croatia,Europe,6.125
-0.01961,Poland,Europe,6.123
-0.01588,Hungary,Europe,6.086
-0.00538,Japan,Asia,6.039
-0.00237,Portugal,Europe,6.016
-0.00373,Greece,Europe,5.948
-0.03087,Moldova,Europe,5.857
-0.00455,Belarus,Europe,5.821
-0.00513,Bosnia and Herzegovina,Europe,5.768
-0.00337,Russia,Europe,5.459
-0.01033,Bulgaria,Europe,5.371
-0.00291,Georgia,Asia,4.973
-0.02519,Lebanon,Asia,2.955
